Code,Stock,Type,Theoretical Quantity,P(%)
RRRP3,3R PETROLEUM,ON      NM,200453863,0.342,
ALPA4,ALPARGATAS,PN      N1,202765994,0.142,
ABEV3,AMBEV S/A,ON,4386652506,3.423,
AMER3,AMERICANAS,ON      NM,596086291,0.258,
ARZZ3,AREZZO CO,ON      NM,60358029,0.240,
ASAI3,ASSAI,ON      NM,936749801,0.909,
AZUL4,AZUL,PN      N2,327646296,0.176,
B3SA3,B3,ON      NM,5901731302,3.460,
BPAN4,BANCO PAN,PN      N1,341549703,0.105,
BBSE3,BBSEGURIDADE,ON      NM,671682536,1.075,
BRML3,BR MALLS PAR,ON      NM,828273884,0.337,
BBDC3,BRADESCO,ON  EJ  N1,1508883586,0.971,
BBDC4,BRADESCO,PN  EJ  N1,5156077326,3.733,
BRAP4,BRADESPAR,PN      N1,251025058,0.374,
BBAS3,BRASIL,ON  EJ  NM,1420731069,2.437,
BRKM5,BRASKEM,PNA     N1,265212486,0.339,
BRFS3,BRF SA,ON      NM,1076512610,0.411,
BPAC11,BTGP BANCO,UNT     N2,1225470424,1.367,
CRFB3,CARREFOUR BR,ON  EJ  NM,528743156,0.395,
CCRO3,CCR SA,ON      NM,1115681435,0.605,
CMIG4,CEMIG,PN      N1,1442098974,0.782,
CIEL3,CIELO,ON      NM,1095401258,0.249,
COGN3,COGNA ON,ON      NM,1820405422,0.186,
CPLE6,COPEL,PNB     N2,1563365506,0.603,
CSAN3,COSAN,ON      NM,1171063698,0.985,
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.304,
CMIN3,CSNMINERACAO,ON      N2,1110550596,0.218,
CVCB3,CVC BRASIL,ON      NM,275967676,0.060,
CYRE3,CYRELA REALT,ON      NM,274142301,0.176,
DXCO3,DEXCO,ON      NM,274863424,0.104,
ECOR3,ECORODOVIAS,ON  ED  NM,333657615,0.069,
ELET3,ELETROBRAS,ON      N1,1447696333,3.113,
ELET6,ELETROBRAS,PNB     N1,279941393,0.641,
EMBR3,EMBRAER,ON      NM,734632205,0.502,
ENBR3,ENERGIAS BR,ON      NM,246028184,0.254,
ENGI11,ENERGISA,UNT     N2,248477689,0.533,
ENEV3,ENEVA,ON      NM,1561135009,0.953,
EGIE3,ENGIE BRASIL,ON      NM,255208461,0.499,
EQTL3,EQUATORIAL,ON      NM,1100513485,1.489,
EZTC3,EZTEC,ON      NM,94318339,0.067,
FLRY3,FLEURY,ON      NM,370847036,0.294,
GGBR4,GERDAU,PN      N1,1111956242,1.780,
GOAU4,GERDAU MET,PN      N1,686077578,0.480,
GOLL4,GOL,PN      N2,190059275,0.074,
NTCO3,GRUPO NATURA,ON      NM,835961011,0.483,
SOMA3,GRUPO SOMA,ON      NM,490736222,0.242,
HAPV3,HAPVIDA,ON      NM,4454740939,1.031,
HYPE3,HYPERA,ON      NM,400842480,0.851,
IGTI11,IGUATEMI S.A,UNT     N1,216457368,0.195,
IRBR3,IRBBRASIL RE,ON      NM,2455237214,0.089,
ITSA4,ITAUSA,PN  EJ  N1,5209666310,2.163,
ITUB4,ITAUUNIBANCO,PN  EJ  N1,4799907051,5.923,
JBSS3,JBS,ON      NM,1134986483,1.215,
KLBN11,KLABIN S/A,UNT     N2,701899756,0.761,
RENT3,LOCALIZA,ON      NM,893978241,2.358,
LWSA3,LOCAWEB,ON      NM,419466860,0.160,
LREN3,LOJAS RENNER,ON      NM,970515779,1.017,
MGLU3,MAGAZ LUIZA,ON      NM,2874188573,0.412,
MRFG3,MARFRIG,ON      NM,316724584,0.125,
CASH3,MELIUZ,ON      NM,657963256,0.039,
BEEF3,MINERVA,ON      NM,260409710,0.158,
MRVE3,MRV,ON      NM,298436955,0.118,
MULT3,MULTIPLAN,ON      N2,268145328,0.286,
PCAR3,P.ACUCAR-CBD,ON      NM,157889627,0.141,
PETR3,PETROBRAS,ON      N2,2684384823,3.753,
PETR4,PETROBRAS,PN      N2,4566441248,5.591,
PRIO3,PETRORIO,ON      NM,839159130,1.488,
PETZ3,PETZ,ON      NM,335672329,0.102,
POSI3,POSITIVO TEC,ON      NM,73573028,0.030,
QUAL3,QUALICORP,ON      NM,277039277,0.074,
RADL3,RAIADROGASIL,ON  EJ  NM,1196069386,1.398,
RAIZ4,RAIZEN,PN  ED  N2,1246412032,0.211,
RDOR3,REDE D OR,ON      NM,932048593,1.207,
RAIL3,RUMO S.A.,ON      NM,1215642613,1.085,
SBSP3,SABESP,ON      NM,340002999,0.948,
SANB11,SANTANDER BR,UNT,355642848,0.488,
SMTO3,SAO MARTINHO,ON      NM,143294210,0.186,
CSNA3,SID NACIONAL,ON,589695175,0.434,
SLCE3,SLC AGRICOLA,ON      NM,96272020,0.215,
SULA11,SUL AMERICA,UNT     N2,284059601,0.275,
SUZB3,SUZANO S.A.,ON      NM,726823001,2.043,
TAEE11,TAESA,UNT     N2,218568234,0.388,
VIVT3,TELEF BRASIL,ON,429455552,0.825,
TIMS3,TIM,ON      NM,808436195,0.522,
TOTS3,TOTVS,ON      NM,519851955,0.694,
UGPA3,ULTRAPAR,ON      NM,1087887681,0.687,
USIM5,USIMINAS,PNA     N1,515014562,0.203,
VALE3,VALE,ON  EJ  NM,4547296398,19.989,
VIIA3,VIA,ON      NM,1576975642,0.165,
VBBR3,VIBRA,ON      NM,1114442976,0.833,
WEGE3,WEG,ON      NM,1481593024,2.737,
YDUQ3,YDUQS PART,ON      NM,296015511,0.148,
Total Theorethical Quantity,,,101194351382,100.000
Reductor,,,18538339.55198594
