country;exchange;suffix;delay;provider;mic_code;timezone
United States of America;Chicago Board of Trade (CBOT);.CBT;10 min;ICE Data Services
United States of America;Chicago Mercantile Exchange (CME);.CME;10 min;ICE Data Services
United States of America;Dow Jones Indexes;N/A;Real-time;ICE Data Services
United States of America;Nasdaq Stock Exchange;N/A;Real-time;ICE Data Services;null;null
United States of America;ICE Futures US;.NYB;30 min;ICE Data Services;null;null
United States of America;New York Commodities Exchange (COMEX);.CMX;30 min;ICE Data Services;null;null
United States of America;New York Mercantile Exchange (NYMEX);.NYM;30 min;ICE Data Services;null;null
United States of America;Options Price Reporting Authority (OPRA);N/A;15 min;ICE Data Services;null;null
United States of America;OTC Bulletin Board Market;N/A;Real-time;ICE Data Services;null;null
United States of America;OTC Markets Group;N/A;15 min;ICE Data Services;null;null
United States of America;S & P Indices;N/A;Real-time;ICE Data Services;null;null
Argentina;Buenos Aires Stock Exchange (BYMA);.BA;30 min;ICE Data Services;null;null
Austria;Vienna Stock Exchange;.VI;15 min;ICE Data Services;null;null
Australia;Australian Stock Exchange (ASX);.AX;20 min;ICE Data Services;null;null
Belgium;Euronext Brussels;.BR;15 min;ICE Data Services;null;null
Brazil;Sao Paolo Stock Exchange (BOVESPA);.SA;15 min;ICE Data Services;BVMF;"America/Paramaribo"
Canada;Canadian Securities Exchange;.CN;Real-time;ICE Data Services;null;null
Canada;NEO Exchange;.NE;Real-time;ICE Data Services;null;null
Canada;Toronto Stock Exchange (TSX);.TO;Real-time;ICE Data Services;null;null
Canada;TSX Venture Exchange (TSXV);.V;Real-time;ICE Data Services;null;null
Chile;Santiago Stock Exchange;.SN;15 min;ICE Data Services;null;null
China;Shanghai Stock Exchange;.SS;30 min;ICE Data Services;null;null
China;Shenzhen Stock Exchange;.SZ;30 min;ICE Data Services;null;null
Czech Republic;Prague Stock Exchange Index;.PR;20 min;ICE Data Services;null;null
Denmark;Nasdaq OMX Copenhagen;.CO;Real-time;ICE Data Services;null;null
Egypt;Egyptian Exchange Index (EGID);.CA;20 min;ICE Data Services;null;null
Estonia;Nasdaq OMX Tallinn;.TL;Real-time;ICE Data Services;null;null
Europe;Euronext;.NX;15 min;ICE Data Services;null;null
Finland;Nasdaq OMX Helsinki;.HE;Real-time;ICE Data Services;null;null
France;Euronext Paris;.PA;15 min;ICE Data Services;null;null
Germany;Berlin Stock Exchange;.BE;15 min;ICE Data Services;null;null
