symbol;name;country;currency
00000020;BOLSA BILBAO INDEX;Spain;EUR
000001;SSE Composite Index;China;CNY
000002;SSE A Share Index;China;CNY
000003;SSE B Share Index;China;USD
000004;SSE Industrial Index;China;CNY
000005;SSE Commercial Index;China;CNY
000006;SSE Real Estate Index;China;CNY
000007;Quanxinhao;China;CNY
000008;SSE Conglomerates Index;China;CNY
000009;SSE 380 Index;China;CNY
000010;Ecobeauty;China;CNY
000011;SSE Fund Index;China;CNY
000012;CSG;China;CNY
000013;SSE Corporate Bond Index;China;CNY
000015;SSE Dividend Index;China;CNY
000016;SSE 50 Index;China;CNY
000017;CBC;China;CNY
000018;SSE 180 Financials Index;China;CNY
000019;SBSY;China;CNY
000020;HUAFA;China;CNY
000021;KAIFA;China;CNY
000022;Chiwan Wharf;China;CNY
000025;TELLUS;China;CNY
000026;FIYTA;China;CNY
000027;SSE 180 Transportation Index;China;CNY
000028;Sinopharm Accord;China;CNY
000029;SPG;China;CNY
000030;SSE 180 relative Growth Index;China;CNY
000031;SSE 180 relative Value Index;China;CNY
000032;SSE Energy Sector Index;China;CNY
000034;Digital China;China;CNY
000035;SSE Consumer Discretionary Sect;China;CNY
000037;Shenzhen Nanshan Power;China;CNY
000038;SSE Financials Sector Index;China;CNY
000039;CIMC;China;CNY
000040;SSE Telecommunication Services ;China;CNY
000041;SSE Utilities Sector Index;China;CNY
000042;SSE Central State-owned Enterpr;China;CNY
000043;AVIC REAL ESTATE;China;CNY
000044;SSE MidCap Index;China;CNY
000045;SSE SmallCap Index;China;CNY
000046;OCEANWIDE HOLDINGS;China;CNY
000047;SSE Large and Mid and Small Cap;China;CNY
000048;SSE Social Responsibility Index;China;CNY
000049;Desay Battery;China;CNY
000050;Tianma;China;CNY
000051;SSE 180 Equal Weight Index Inde;China;CNY
000052;SSE50 Fundamental Weighted Inde;China;CNY
000053;SSE180 Fundamental Weighted  In;China;CNY
000054;SSE Overseas-listing A shares I;China;CNY
000055;CFGC;China;CNY
000056;SSE State-owned Enterprises 100;China;CNY
000057;SSE Large and Mid and Small Cap;China;CNY
000058;Shenzhen SEG;China;CNY
000059;SSE Large and Mid and Small Cap;China;CNY
000060;NONFEMET;China;CNY
000061;SSE Corporate Bond 30 Index;China;CNY
000062;SSE Shanghai Local Company Inde;China;CNY
000063;ZTE;China;CNY
000064;SSE non-Cyclical Industry 100 I;China;CNY
000065;SSE Industry Top Index;China;CNY
000066;GREATWALL COMPUTER;China;CNY
000067;SSE Emerging Industries Index;China;CNY
000068;SSE Natural Resource Index;China;CNY
000069;OCT;China;CNY
000070;SDGI;China;CNY
000071;SSE Materials Sector Equal Weig;China;CNY
000072;SSE Industrials Sector Equal We;China;CNY
000073;SSE Consumer Discretionary Sect;China;CNY
000074;SSE Consumer Staples Sector Equ;China;CNY
000075;SSE Health Care Sector Equal We;China;CNY
000076;SSE Financials Sector Equal Wei;China;CNY
000078;SSE Telecommunication Services ;China;CNY
000079;SSE Utilities Sector Equal Weig;China;CNY
000090;Tagen Group;China;CNY
000091;SSE Wealth Mid-Small Index;China;CNY
000092;SSE Resource 50 index Index;China;CNY
000093;SSE 180 Sector Equal Weight Ind;China;CNY
000094;SSE Upstream Industry Index Ind;China;CNY
000095;SSE Midstream Industry Index In;China;CNY
000098;SSEF 200 Index;China;CNY
000099;COHC;China;CNY
000100;TCL Corp.;China;CNY
000101;SSE 5-Year Credit Bond Index In;China;CNY
000102;SSE Investment Commodity Index ;China;CNY
000103;SSE Consume Commodity Index Ind;China;CNY
000104;SSE 380 Energy Index Index;China;CNY
000105;SSE 380 Materials Index Index;China;CNY
000106;SSE 380 Industrials Index Index;China;CNY
000107;SSE 380 Consumer Discretionary ;China;CNY
000108;SSE 380 Consumer Staples Index ;China;CNY
000110;SSE 380 Financials Index Index;China;CNY
000111;SSE 380 Information Technology ;China;CNY
000112;SSE 380 Telecommunication Servi;China;CNY
000114;SSE Sustainable Development Ind;China;CNY
000115;SSE 380 Equal Weight Index;China;CNY
000116;SSE Credit Bond 100 Index;China;CNY
000117;SSE 380 Growth Index Index;China;CNY
000118;SSE 380 Value Index Index;China;CNY
000119;SSE 380 Relative Growth Index I;China;CNY
000120;SSE 380 Relative Value Index In;China;CNY
000121;SSE Health Care theme Index Ind;China;CNY
000123;SSE 180 Dynamic Index;China;CNY
000125;SSE 180 Stability Index;China;CNY
000126;SSE Consumer 50 Index Index;China;CNY
000128;SSE380 Fundamental Weighted Ind;China;CNY
000129;SSE180 Volatility Weighted Inde;China;CNY
000130;SSE380 Volatility Weighted Inde;China;CNY
000132;SSE 100 Index;China;CNY
000133;SSE 150 Index;China;CNY
000134;SSE Banks Index;China;CNY
000135;SSE 180 High Beta Index;China;CNY
000136;SSE 180 Low Beta Index;China;CNY
000138;SSE 380 Low Beta Index;China;CNY
000139;SSE Convertible Bond Index;China;CNY
000141;SSE 380 Dynamic Index;China;CNY
000142;SSE 380 Stability Index;China;CNY
000145;SSE Select Resources Industries;China;CNY
000146;SSE Select Manufacturing Indust;China;CNY
000149;SSE 180 Dividend Index;China;CNY
000150;SSE 380 Dividend Index;China;CNY
000151;COMPLANT;China;CNY
000152;SSE Central State-owned Enterpr;China;CNY
000153;FENGYUAN PHARMACEUTICAL;China;CNY
000155;SSE Market Value Top 100 Index;China;CNY
000158;CSTEX;China;CNY
000300;CSI 300 Index;China;CNY
000901;CSI Southern Well-Off Industry ;China;CNY
000902;XYF;China;CNY
000903;YUNNEI POWER;China;CNY
000904;CSI 200 Index;China;CNY
000905;XMPD;China;CNY
000906;CSI 800 Index;China;CNY
000907;CSI 700 Index;China;CNY
000908;Jingfeng Pharmaceutical;China;CNY
000909;SOYEA;China;CNY
000911;NNSUGAR;China;CNY
000913;QIANJIANG MOTOR;China;CNY
000914;CSI 300 Financials Index;China;CNY
000915;SHANDA WIT;China;CNY
000916;Huabei Expressway;China;CNY
000917;TIK;China;CNY
000918;Calxon;China;CNY
000919;JINLING PHARM.;China;CNY
000920;SOUTH HUITON;China;CNY
000921;CSI 300 Relative Value Index;China;CNY
000922;JEMC;China;CNY
000923;XCMC;China;CNY
000925;United;China;CNY
000926;CSI Central State-owned Enterpr;China;CNY
000927;CSI Central State-owned Enterpr;China;CNY
000928;SINOSTEEL ENTEC;China;CNY
000929;LANZHOU HUANGHE;China;CNY
000930;COFCO BIOCHEMICAL;China;CNY
000931;Beijing Centergate;China;CNY
000934;CSI Financials index;China;CNY
000935;SHM;China;CNY
000936;H.X.C.;China;CNY
000937;JZEG;China;CNY
000938;CSI Private-owned Enterprises C;China;CNY
000939;KAIDI ECOLOGICAL;China;CNY
000940;CSI Wealth Large Cap Index;China;CNY
000941;CSI CN Mainland New Energy Inde;China;CNY
000942;CSI China Mainland Consumer Ind;China;CNY
000943;CSI China Mainland Infrastructu;China;CNY
000944;CSI China Mainland Natural Reso;China;CNY
000945;CSI China Mainland Transportati;China;CNY
000946;CSI China Mainland Financials I;China;CNY
000947;CSI China Mainland Banks Index;China;CNY
000948;NANTIAN;China;CNY
000950;CSI 300 Infrastructure Index;China;CNY
000951;CNHTC-JNTC;China;CNY
000952;CSI 300 Real Estate Index;China;CNY
000964;CSI Emerging Industries Index;China;CNY
000965;T.B Infrastructure;China;CNY
000966;CYDL;China;CNY
000967;Infore Environment;China;CNY
000970;CSI ECPI ESG China 40 Index;China;CNY
0016C;FTCOM/CITI P-WT 16;Netherlands;EUR
0017C;PUBLI/CITI P-WT 16;Netherlands;EUR
1010;S&P/CSE Energy Industry Group I;Sri Lanka;LKR
10WU;BARCLAYS BANK PLC IDX LKD NTS 1;United Kingdom;EUR
1510;S&P/CSE Materials Industry Grou;Sri Lanka;LKR
17AB;WESTPAC BANKING CORPORATION FLT;United Kingdom;EUR
18MH;Amundi ETF MSCI EMU DR A/I;Germany;EUR
18MQ;Amundi ETF MSCI World ex Europe EUR A/I;Germany;EUR
18MT;Amundi ETF Euro Corporates C;Germany;EUR
18MV;Amundi ETF GvtBd EuroMTS Broad Inv Grd;Germany;EUR
2010;S&P/CSE Capital Goods Industry ;Sri Lanka;LKR
2030;S&P/CSE Transportation Industry;Sri Lanka;LKR
2030704;JIM ROGERS ENERGY;Netherlands;USD
21284890;AMX X5 SHORT GR;Netherlands;EUR
23981283;EN PEA PME EURZONE;Netherlands;EUR
23981286;EN PEA PME EURZ NR;Netherlands;EUR
2510;S&P/CSE Automobiles & Component;Sri Lanka;LKR
2520;S&P/CSE Consumer Durables & App;Sri Lanka;LKR
2550;S&P/CSE Retailing Industry Grou;Sri Lanka;LKR
2N77Z;ILIAD/COBA WT OPEN;Netherlands;EUR
3010;S&P/CSE Food & Staples Retailin;Sri Lanka;LKR
30756789;AEX ALL-TRAD NR;Netherlands;EUR
30756893;AEX ALL-TRAD AW NR;Netherlands;EUR
33DP;HSBC Bank plc MKT ACC NTS 30/12/16;United Kingdom;USD
3711C;BABA/CITI WT-16;Netherlands;EUR
399001;Shenzhen Component;China;CNY
399002;Shenzhen Component R;China;CNY
399003;SZSE COMPONENT B;China;CNY
399004;Shenzhen 100 Index R;China;CNY
399005;SZSE SME PRICE INDEX;China;CNY
399006;CHINEXT PRICE INDEX;China;CNY
399007;SZSE 300 PRICE INDEX;China;CNY
399008;SZSE SME 300 PRICE;China;CNY
399009;SZSE 200 INDEX;China;CNY
399010;SZSE 700 INDEX;China;CNY
399011;SZSE 1000 INDEX;China;CNY
399012;SZSE CHINEXT 300;China;CNY
399013;SZSE SELECT INDEX;China;CNY
399015;SZSE SMID CAP INNO;China;CNY
399016;SZSE INNOVATION;China;CNY
399017;SZSE SME INNOVATION;China;CNY
399088;SZSE Innovation 100;China;CNY
399100;SZSE NEW INDEX;China;CNY
399101;SZSE SME COMPOSITE;China;CNY
399102;CHINEXT COMPOSITE;China;CNY
399103;SZSE LEFU FUND INDEX;China;CNY
399106;SZSE COMPOSITE INDEX;China;CNY
399107;SZSE A SHARE INDEX;China;CNY
399108;SZSE B SHARE INDEX;China;CNY
399231;AGRICULTURE INDEX;China;CNY
399232;MINING INDEX;China;CNY
399233;MANUFACTURING INDEX;China;CNY
399234;UTILITIES INDEX;China;CNY
399236;WHOLESALE RETAIL IDX;China;CNY
399237;TRANSPORTATION INDEX;China;CNY
399238;HOTEL & CATERING IDX;China;CNY
399239;IT INDEX;China;CNY
399240;FINANCE INDEX;China;CNY
399242;BUSINESS SERVICE IDX;China;CNY
399243;R&D INDEX;China;CNY
399244;EP INDEX;China;CNY
399248;MEDIA INDEX;China;CNY
399249;CONGLOMERATES INDEX;China;CNY
399282;SZSE Big Data 50;China;CNY
399283;SZSE Robot 50;China;CNY
399284;SZSE AI 50;China;CNY
399285;SZSE IOT 50;China;CNY
399286;SZSE BlockChain 50;China;CNY
399290;Convertible&Exchange;China;CNY
399292;SZSE NON-SOE DEV;China;CNY
399293;CHINEXT Large Cap;China;CNY
399294;SZSE SME&CHINEXT Q;China;CNY
399296;CHINEXT MOMENTUM G;China;CNY
399297;SZSE SINA 100 INDEX;China;CNY
399298;SZSE M-H CREDIT BOND;China;CNY
399299;SZSE M-L CREDIT BOND;China;CNY
399300;CSI 300 INDEX;China;CNY
399301;SZSE CREDIT BOND;China;CNY
399302;SZSE CORPORATE BOND;China;CNY
