symbol;field
5GTK11;'sector'
A1BB34;'state'
A1CR34;'state'
A1EG34;'state'
A1GN34;'state'
A1ON34;'state'
A1RG34;'state'
A1SN34;'state'
A1TH34;'state'
A1UA34;'state'
A1ZN34;'state'
AALR3F;'sector'
ABCB4F;'sector'
ABCP11;'website'
ABEV3F;'sector'
ABUD34;'state'
ACNB34;'state'
ACWI11;'sector'
ADHM3;'sector'
AERI3F;'sector'
AESB3F;'sector'
AFCR11;'sector'
AFHI11;'sector'
AFLT3F;'sector'
AFOF11;'shortName'
AGRO3F;'sector'
AGXY3F;'sector'
AHEB3F;'sector'
AIEC11;'website'
ALLD3F;'sector'
ALMI11;'sector'
ALPA3F;'sector'
ALPA4F;'sector'
ALPK3F;'sector'
ALSO3F;'sector'
ALUG11;'sector'
ALUP11F;'sector'
ALUP3F;'sector'
ALUP4F;'sector'
ALZR11;'website'
AMAR3F;'sector'
AMBP3F;'sector'
AMER3F;'sector'
ANCR11B;'website'
ANIM3F;'sector'
APER3F;'sector'
APTO11;'website'
APTV34;'state'
ARCT11;'sector'
ARML3F;'sector'
ARMT34;'state'
ARRI11;'website'
ARZZ3F;'sector'
ASAI3F;'sector'
ASIA11;'sector'
ASML34;'sector'
ATMP3F;'sector'
ATOM3F;'sector'
ATSA11;'sector'
AVLL3F;'sector'
AZEV3F;'sector'
AZEV4F;'sector'
AZUL4F;'sector'
B1CS34;'state'
B1GN34;'sector'
B1IL34;'sector'
B1NT34;'sector'
B1PP34;'state'
B1SA34;'sector'
B1TI34;'sector'
B3SA3F;'sector'
B5MB11;'sector'
B5P211;'sector'
BAAX39;'sector'
BABA34;'sector'
BACW39;'sector'
BAER39;'sector'
BAHI3F;'sector'
BALM3F;'sector'
BALM4F;'sector'
BARI11;'website'
BAUH4F;'sector'
BAZA3F;'sector'
BBAS3F;'sector'
BBDC3F;'sector'
BBDC4F;'sector'
BBFO11;'sector'
BBGO11;'sector'
BBOV11;'sector'
BBPO11;'longBusinessSummary'
BBRC11;'website'
BBRK3;'shortName'
BBSD11;'sector'
BBSE3F;'sector'
BBVH11;'sector'
BBVJ11;'sector'
BCFF11;'sector'
BCHI39;'sector'
BCIA11;'website'
BCIR39;'sector'
BCRI11;'website'
BCSA34;'sector'
BCWV39;'sector'
BDIF11;'sector'
BDIV11;'sector'
BDLL3F;'sector'
BDLL4F;'sector'
BDVY39;'sector'
BEEF3F;'sector'
BEEM39;'sector'
BEES3F;'sector'
BEES4F;'sector'
BEFA39;'sector'
BEFG39;'sector'
BEFV39;'sector'
BEGD39;'sector'
BEGE39;'sector'
BEGU39;'sector'
BEMV39;'sector'
BEWA39;'sector'
BEWC39;'sector'
BEWG39;'sector'
BEWH39;'sector'
BEWJ39;'sector'
BEWL39;'sector'
BEWP39;'sector'
BEWQ39;'sector'
BEWT39;'sector'
BEWU39;'sector'
BEWW39;'sector'
BEWY39;'sector'
BEWZ39;'sector'
BEZU39;'sector'
BFAV39;'sector'
BFBI39;'sector'
BFCG39;'sector'
BFXI39;'sector'
BGIP3F;'sector'
BGIP4F;'sector'
BGRT39;'sector'
BGWH39;'sector'
BHEF39;'sector'
BIAU39;'sector'
BIBB39;'sector'
BICL39;'sector'
BICR11;'website'
BIDB11;'sector'
BIDU34;'sector'
BIEF39;'sector'
BIEM39;'sector'
BIEU39;'sector'
BIEV39;'sector'
BIGF39;'sector'
BIHI39;'sector'
BIJH39;'sector'
BIJR39;'sector'
BILB34;'sector'
BILF39;'sector'
BIME11;'website'
BIOM3F;'sector'
BITH11;'sector'
BITO39;'sector'
BIVB39;'sector'
BIVE39;'sector'
BIVW39;'sector'
BIWF39;'sector'
BIWM39;'sector'
BIXG39;'sector'
BIXJ39;'sector'
BIXN39;'sector'
BIYE39;'sector'
BIYF39;'sector'
BIYG39;'sector'
BIYW39;'sector'
BKBR3F;'sector'
BKYY39;'sector'
BLAU3F;'sector'
BLCA11;'website'
BLCP11;'sector'
BLMC11;'website'
BLMG11;'sector'
BLMR11;'sector'
BLUT3F;'sector'
BLUT4F;'sector'
BMEB3F;'sector'
BMEB4F;'sector'
BMGB4F;'sector'
BMIN3F;'sector'
BMIN4F;'sector'
BMLC11;'website'
BMOB3F;'sector'
BMTU39;'sector'
BNBR3F;'sector'
BNDA39;'sector'
BNFS11;'website'
BOAS3F;'sector'
BOBR4F;'sector'
BOEF39;'sector'
BOVA11;'sector'
BOVB11;'sector'
BOVS11;'sector'
BOVV11;'sector'
BOVX11;'sector'
BPAC11F;'sector'
BPAC3F;'sector'
BPAC5F;'sector'
BPAN4F;'sector'
BPFF11;'website'
BPML11;'website'
BPRP11;'website'
BQTC39;'sector'
BQUA39;'sector'
BRAP3F;'sector'
BRAP4F;'sector'
BRAX11;'sector'
BRBI11;'sector'
BRBI11F;'sector'
BRCO11;'website'
BREV11;'website'
BRFS3F;'sector'
BRGE11;'website'
BRGE11F;'sector'
BRGE12;'website'
BRGE12F;'sector'
BRGE3;'website'
BRGE3F;'sector'
BRGE5;'website'
BRGE5F;'sector'
BRGE6;'website'
BRGE6F;'sector'
BRGE8;'website'
BRGE8F;'sector'
BRIM11;'sector'
BRIP11;'website'
BRIT3F;'sector'
BRIV3F;'sector'
BRIV4F;'sector'
BRKM3F;'sector'
BRKM5F;'sector'
BRKM6F;'sector'
BRLA11;'sector'
BRML3F;'sector'
BRPR3F;'sector'
BRSR3F;'sector'
BRSR5F;'sector'
BRSR6F;'sector'
BRZP11;'sector'
BSCZ39;'sector'
BSIZ39;'sector'
BSLI3F;'sector'
BSLI4F;'sector'
BSLV39;'website'
BSOX39;'sector'
BSUS39;'sector'
BTAL11;'sector'
BTCR11;'website'
BTEK11;'sector'
BTRA11;'sector'
BURT39;'sector'
BUSM39;'website'
BUSR39;'sector'
BVLU39;'sector'
BXTC39;'sector'
BZLI11;'website'
C1BL34;'state'
C1HI34;'shortName'
C1HK34;'state'
C1HT34;'sector'
C1SU34;'sector'
CACR11;'sector'
CAJI34;'sector'
CALI3F;'sector'
CAMB3F;'sector'
CAML3F;'sector'
CAPH34;'state'
CARD3F;'sector'
CARE11;'website'
CASH3F;'sector'
CASN3F;'sector'
CBAV3F;'sector'
CBEE3;'website'
CBEE3F;'sector'
CBOP11;'website'
CCRF11;'sector'
CCRO3F;'sector'
CEAB3F;'sector'
CEBR3F;'sector'
CEBR5F;'sector'
CEBR6F;'sector'
CEDO3F;'sector'
CEDO4F;'sector'
CEEB3F;'sector'
CEEB5F;'sector'
CEED3F;'sector'
CEED4F;'sector'
CEGR3F;'sector'
CEOC11;'website'
CEPE3F;'sector'
CEPE5F;'sector'
CEPE6F;'sector'
CGAS3F;'sector'
CGAS5F;'sector'
CGRA3F;'sector'
CGRA4F;'sector'
CIEL3F;'sector'
CJCT11;'sector'
CLSA3F;'sector'
CLSC3F;'sector'
CLSC4F;'sector'
CMDB11;'sector'
CMIG3F;'sector'
CMIG4F;'sector'
CMIN3F;'sector'
CNES11;'sector'
COCE3F;'sector'
COCE5F;'sector'
COGN3F;'sector'
CORM11;'shortName'
CPFE3F;'sector'
CPFF11;'website'
CPLE11F;'sector'
CPLE3F;'sector'
CPLE5F;'sector'
CPLE6F;'sector'
CPTI11;'sector'
CPTS11;'sector'
CRDE3F;'sector'
CRFB3F;'sector'
CRFF11;'website'
CRIP34;'sector'
CRIV3F;'sector'
CRIV4F;'sector'
CRPG3F;'sector'
CRPG5F;'sector'
CRPG6F;'sector'
CSAB4F;'sector'
CSAN3F;'sector'
CSED3F;'sector'
CSMG3F;'sector'
CSNA3F;'sector'
CSRN3F;'sector'
CSRN5F;'sector'
CSRN6F;'sector'
CTKA4F;'sector'
CTNM3F;'sector'
CTNM4F;'sector'
CTSA3F;'sector'
CTSA4F;'sector'
CTXT11;'website'
CURY3F;'sector'
CVBI11;'website'
CVCB3F;'sector'
CXAG11;'website'
CXCE11B;'website'
CXCO11;'sector'
CXRI11;'website'
CXSE3F;'sector'
CXTL11;'website'
CYCR11;'sector'
CYRE3F;'sector'
DAMT11B;'sector'
DASA3F;'sector'
DBAG34;'state'
DCRA11;'sector'
DEOP34;'sector'
DESK3F;'sector'
DEVA11;'sector'
DEXP3F;'sector'
DEXP4F;'sector'
DIRR3F;'sector'
